WELL_KEY,BASIN,BASIN_CODE,POOL_NAME,FORMATION_NAME,WELL_ALIAS,BATTERY,COUNTRY,WELLHEAD_LATITUDE,WELLHEAD_LONGITUDE,SANDFACE_LATITUDE,SANDFACE_LONGITUDE,SANDFACE_DLS,SANDFACE_NTS,FIELD_CODE,POOL_CODE,FORMATION_CODE,NAD,KB_ELEVATION,GROUND_ELEVATION,CASING_FLANGE_ELEVATION,WELL_STATUS,ENTITY_NO,PRIMARY_FLUID,CURRENT_STATUS,STATUS_DATE,UNIT,UNIT_CODE,NUM_OF_FRACS,BATTERY_CODE,BOTTOM_PERFORATION_MD,BOTTOM_PERFORATION_TVD,DISTRICT,ENTITY_LOCATION,GAS_GATHERER,LATERAL_CODE,LATERAL_NAME,LICENSE_DATE,METER_NUMBER,OIL_CONDENSATE_GATHERER,ONSHORE_OFFSHORE,ORIGINAL_OPERATOR,ORIGINAL_OPERATOR_CODE,PLANT_CODE,PLANT_NAME,PLANT_TYPE,PLANT_TYPE_DESCRIPTION,PLUGBACK_DEPTH_MD,PLUGBACK_DEPTH_TVD,RIG_RELEASE_DATE,SPUD_DATE,TOP_PERFORATION_MD,TOP_PERFORATION_TVD,TOTAL_DEPTH_MD,TOTAL_DEPTH_TVD,WELL_TYPE,USER_SPECIFIED_CUSTOM_ATTR_1,USER_SPECIFIED_CUSTOM_ATTR_2,USER_SPECIFIED_CUSTOM_ATTR_N
50.0595.0001.99,Cook Inlet,1,None,None,A 007 ADL 18731 (C) Pre-HAK,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0001.05,Cook Inlet,1,None,None,A 007 ADL 18731 (D),Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0001.98,Cook Inlet,1,None,None,A 007 ADL 18731 (D) Pre-HAK,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0001.06,Cook Inlet,1,None,None,A 007 ADL 18731 (E),Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0001.07,Cook Inlet,1,None,None,A 007 ADL 18731 (H),Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0001.97,Cook Inlet,1,None,None,A 007 ADL 18731 (H) Pre-HAK,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0016.95,Cook Inlet,1,None,None,A 008 ADL 18731 (D) Pre-HAK,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0016.96,Cook Inlet,1,None,None,A 008 ADL 18731 (E) Pre-HAK,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0016.94,Cook Inlet,1,None,None,A 008 ADL 18731 (H) Pre-HAK,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0016.93,Cook Inlet,1,None,None,A 008 PARENT ADL 18731 Pre-HAK,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0016.98,Cook Inlet,1,None,None,A 008RD ADL 18731 (C) Pre-HAK,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0016.99,Cook Inlet,1,None,None,A 008RD ADL 18731 (D) Pre-HAK,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0016.97,Cook Inlet,1,None,None,A 008RD ADL 18731 (H) Pre-HAK,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0016.09,Cook Inlet,1,None,None,A 008RD2 ADL 18731 (C),Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0016.92,Cook Inlet,1,None,None,A 008RD2 ADL 18731 (C) Pre-HAK,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0016.10,Cook Inlet,1,None,None,A 008RD2 ADL 18731 (D),Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0016.11,Cook Inlet,1,None,None,A 008RD2 ADL 18731 (E),Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0016.07,Cook Inlet,1,None,None,A 008RD2 ADL 18731 (G),Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0016.08,Cook Inlet,1,None,None,A 008RD2 ADL 18731 (H),Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0007.96,Cook Inlet,1,None,None,A 009 ADL 18731 (B) Pre-HAK,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0007.97,Cook Inlet,1,None,None,A 009 ADL 18731 (H) Pre-HAK,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0007.95,Cook Inlet,1,None,None,A 009 PARENT ADL 18731 Pre-HAK,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0007.04,Cook Inlet,1,None,None,A 009RD ADL 18731 (C),Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0007.05,Cook Inlet,1,None,None,A 009RD ADL 18731 (D),Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0007.99,Cook Inlet,1,None,None,A 009RD ADL 18731 (E) Pre-HAK,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0007.98,Cook Inlet,1,None,None,A 009RD ADL 18731 (H) Pre-HAK,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0020.99,Cook Inlet,1,None,None,A 010 ADL 18731 (H) Pre-HAK,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0019.97,Cook Inlet,1,None,None,A 010 PARENT ADL 18731 Pre-HAK,Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0020.01,Cook Inlet,1,None,None,A 010L ADL 18731 (D),Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0020.02,Cook Inlet,1,None,None,A 010L ADL 18731 (E),Monopod,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0595.0020.04,Cook Inlet,1,None,None,A 010RD Tyonek Hemlock,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
