"WELL_KEY","WELL_NAME","WELLHEAD_LATITUDE","WELLHEAD_LONGITUDE","SANDFACE_LATITUDE","SANDFACE_LONGITUDE","SANDFACE_DLS","SANDFACE_NTS","API_FM","COUNTRY","PROVINCE_STATE","FIELD_NAME","FIELD_CODE","POOL_NAME","POOL_CODE","FORMATION_NAME","FORMATION_CODE","COUNTY_PARRISH","AREA_NAME","NAD","KB_ELEVATION","GROUND_ELEVATION","CASING_FLANGE_ELEVATION","WELL_STATUS","ENTITY_NO","PRIMARY_FLUID","CURRENT_STATUS","STATUS_DATE","UNIT","UNIT_CODE","NUM_OF_FRACS","WELL_ALIAS","BASIN","BASIN_CODE","BATTERY","BATTERY_CODE","BOTTOM_PERFORATION_MD","BOTTOM_PERFORATION_TVD","DISTRICT","ENTITY_LOCATION","GAS_GATHERER","LATERAL_CODE","LATERAL_NAME","LICENSE_DATE","METER_NUMBER","OIL_CONDENSATE_GATHERER","ONSHORE_OFFSHORE","ORIGINAL_OPERATOR","ORIGINAL_OPERATOR_CODE","PLANT_CODE","PLANT_NAME","PLANT_TYPE","PLANT_TYPE_DESCRIPTION","PLUGBACK_DEPTH_MD","PLUGBACK_DEPTH_TVD","RIG_RELEASE_DATE","SPUD_DATE","TOP_PERFORATION_MD","TOP_PERFORATION_TVD","TOTAL_DEPTH_MD","TOTAL_DEPTH_TVD","WELL_TYPE","USER_SPECIFIED_CUSTOM_ATTR_1","USER_SPECIFIED_CUSTOM_ATTR_2","USER_SPECIFIED_CUSTOM_ATTR_N"
"50.0596.0020","TBU K 026RD2 Hemlock PA",NA,NA,NA,NA,NA,NA,"507332009705","USA","AK","McArthur River - 50.0596",NA,NA,NA,"None",NA,"Kenai Quad-Offshore","Cook Inlet Offshore - CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K 026RD2 Hemlock PA","Cook Inlet",1,"King",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50.0596.0021","TBU G 009 Hemlock PA",60.8398199998931,-151.612769999836,60.841519737446,-151.55350906659,NA,NA,"507332009800","USA","AK","McArthur River - 50.0596",NA,"653HMCK",NA,"None",NA,"Kenai Quad-Offshore","Cook Inlet Offshore - CIO",NA,99,NA,NA,"INJECT",NA,"INJECT",NA,NA,NA,NA,NA,"G 009 Hemlock PA","Cook Inlet",1,"Grayling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNION OIL CO OF CA",NA,NA,NA,NA,NA,NA,NA,NA,"1968-04-22",NA,NA,15330,NA,NA,NA,NA,NA
"50.0596.0022","TBU D 005RD Middle Kenai G PA",60.8078299995549,-151.633140000311,60.8117545060657,-151.618227493404,NA,NA,"507332010001","USA","AK","McArthur River - 50.0596",NA,"653HMCK",NA,"None",NA,"Kenai Quad-Offshore","Cook Inlet Offshore - CIO",NA,116,NA,NA,"OIL",NA,"OIL",NA,NA,NA,NA,NA,"D 005RD Middle Kenai G PA","Cook Inlet",1,"Dolly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNION OIL CO OF CA",NA,NA,NA,NA,NA,NA,NA,NA,"1980-06-08",NA,NA,10660,NA,NA,NA,NA,NA
"50.0596.0023","TBU K 007RD Hemlock PA",60.8652400003258,-151.605789999909,60.8527311195456,-151.562003705606,NA,NA,"507332010601","USA","AK","McArthur River - 50.0596",NA,"653HMCK",NA,"None",NA,"Kenai Quad-Offshore","Cook Inlet Offshore - CIO",NA,100,NA,NA,"INJECT",NA,"INJECT",NA,NA,NA,NA,NA,"K 007RD Hemlock PA","Cook Inlet",1,"King",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNION OIL CO OF CA",NA,NA,NA,NA,NA,NA,NA,NA,"1977-05-20",NA,NA,13990,NA,NA,NA,NA,NA
"50.0596.0024","TBU D 008RD Middle Kenai G PA",60.8076300002244,-151.632619999713,60.7958370103698,-151.60690591018,NA,NA,"507332010701","USA","AK","McArthur River - 50.0596",NA,"653HMCK",NA,"None",NA,"Kenai Quad-Offshore","Cook Inlet Offshore - CIO",NA,106,NA,NA,"OIL",NA,"OIL",NA,NA,NA,NA,NA,"D 008RD Middle Kenai G PA","Cook Inlet",1,"Dolly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNION OIL CO OF CA",NA,NA,NA,NA,NA,NA,NA,NA,"1974-06-11",NA,NA,12398,NA,NA,NA,NA,NA
"50.0596.0025","TBU K 009 Hemlock PA",60.8652200003028,-151.605820000393,60.8490346514281,-151.587907633031,NA,NA,"507332011000","USA","AK","McArthur River - 50.0596",NA,"653HMCK",NA,"None",NA,"Kenai Quad-Offshore","Cook Inlet Offshore - CIO",NA,100,NA,NA,"OIL",NA,"OIL",NA,NA,NA,NA,NA,"K 009 Hemlock PA","Cook Inlet",1,"King",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNION OIL CO OF CA",NA,NA,NA,NA,NA,NA,NA,NA,"1968-05-23",NA,NA,12156,NA,NA,NA,NA,NA
"50.0596.0026","TBU G 011 Middle Kenai G PA",60.8396599997093,-151.613349999603,60.8284399238635,-151.616001656052,NA,NA,"507332011500","USA","AK","McArthur River - 50.0596",NA,"653HMCK",NA,"None",NA,"Kenai Quad-Offshore","Cook Inlet Offshore - CIO",NA,99,NA,NA,"INJECT",NA,"INJECT",NA,NA,NA,NA,NA,"G 011 Middle Kenai G PA","Cook Inlet",1,"Grayling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNION OIL CO OF CA",NA,NA,NA,NA,NA,NA,NA,NA,"1968-05-29",NA,NA,10846,NA,NA,NA,NA,NA
"50.0596.0027","TBU G 012RD3 Middle Kenai G PA",60.8397900003083,-151.612789999859,60.8236343146719,-151.572776951495,NA,NA,"507332011603","USA","AK","McArthur River - 50.0596",NA,"653HMCK",NA,"None",NA,"Kenai Quad-Offshore","Cook Inlet Offshore - CIO",NA,99,NA,NA,"INJECT",NA,"INJECT",NA,NA,NA,NA,NA,"G 012RD3 Middle Kenai G PA","Cook Inlet",1,"Grayling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNION OIL CO OF CA",NA,NA,NA,NA,NA,NA,NA,NA,"2002-05-16",NA,NA,14070,NA,NA,NA,NA,NA
"50.0596.0028","TBU D 007RD2 Hemlock PA",60.807860000039,-151.633089999804,60.8234372570238,-151.606148654037,NA,NA,"507332011702","USA","AK","McArthur River - 50.0596",NA,"653HMCK",NA,"None",NA,"Kenai Quad-Offshore","Cook Inlet Offshore - CIO",NA,106,NA,NA,"OIL",NA,"OIL",NA,NA,NA,NA,NA,"D 007RD2 Hemlock PA","Cook Inlet",1,"Dolly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNION OIL CO OF CA",NA,NA,NA,NA,NA,NA,NA,NA,"1993-03-11",NA,NA,12438,NA,NA,NA,NA,NA
"50.0596.0029","TBU G 013 Middle Kenai G PA",60.8396700001704,-151.61340000011,60.8445859309959,-151.646136664376,NA,NA,"507332012700","USA","AK","McArthur River - 50.0596",NA,"652WFLD",NA,"None",NA,"Kenai Quad-Offshore","Cook Inlet Offshore - CIO",NA,99,NA,NA,"INJECT",NA,"INJECT",NA,NA,NA,NA,NA,"G 013 Middle Kenai G PA","Cook Inlet",1,"Grayling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNION OIL CO OF CA",NA,NA,NA,NA,NA,NA,NA,NA,"1968-08-24",NA,NA,12014,NA,NA,NA,NA,NA
